v_mean_m_per_s,p_from_bar,p_to_bar,t_from_k,t_to_k,mdot_from_kg_per_s,mdot_to_kg_per_s,vdot_norm_m3_per_s,reynolds,lambda,deltat_k,qext_w
0.292540207,9.485857892,7.65885504,382.3907291,313.15,0.426754333,-0.426754333,0.000426805,34513.17343,0.01920253,69.81732298,134278.0002
0.257498256,9.43934557,7.704287135,382.435862,313.15,0.375635534,-0.375635534,0.000375681,30379.0104,0.019454883,69.01438103,118193.5
0.706412971,9.256072871,7.887020847,382.9710433,313.15,1.030507224,-1.030507224,0.001030631,83340.8633,0.018116096,69.01668673,324248.4926
0.025395038,9.532644471,7.578398435,380.6025786,313.15,0.037045993,-0.037045993,3.71E-05,2996.044069,0.038709667,69.38465484,11656.5
0.477132166,9.550030423,7.663744734,380.6364271,313.15,0.696034988,-0.696034988,0.000696118,56290.87835,0.018485117,69.07340318,219007
0.109588745,9.466008277,7.67517625,382.1258188,313.15,0.159866817,-0.159866817,0.000159886,12929.01032,0.022298273,68.98301379,50302
0.134983783,9.467273846,7.673699564,382.7139139,313.15,0.19691281,-0.19691281,0.000196936,15925.05439,0.02136699,68.90345381,61958.5
0.050790076,9.494970971,7.659519725,382.0743158,313.15,0.074091986,-0.074091986,7.41E-05,5992.088138,0.028028916,68.90793284,23313
0.342148383,9.574399304,7.637565424,380.8964587,313.15,0.499122178,-0.499122178,0.000499182,40365.82396,0.018933665,65.9093039,157048.5
0.343330283,9.559113643,7.65391543,380.8624283,313.15,0.500846319,-0.500846319,0.000500906,40505.26157,0.018928207,69.25284989,157591.0002
0.04632936,9.467208951,7.666001305,382.5110347,313.15,0.067584744,-0.067584744,6.76E-05,5465.823802,0.029057288,68.99208476,21265.5
0.364721024,9.773512352,7.292991121,382.9771851,313.15,0.532050891,-0.532050891,0.000532115,43028.88861,0.018835538,68.34993884,167409.5002
0.020934322,9.444228104,7.693417234,381.1158457,313.15,0.030538751,-0.030538751,3.05E-05,2469.779733,0.043261407,67.33108511,9609
0.025395038,9.444331059,7.69329781,377.6267987,313.15,0.037045993,-0.037045993,3.71E-05,2996.044069,0.038709667,67.04812064,11656.5
0.025395038,9.443518156,7.694265258,378.5064418,313.15,0.037045993,-0.037045993,3.71E-05,2996.044069,0.038709667,68.02129552,11656.5
0.029399334,9.561983736,7.564351127,382.6371732,313.15,0.042887415,-0.042887415,4.29E-05,3468.46109,0.035800153,69.35760004,13494.5
0.371547717,9.534310278,7.576487848,382.1368006,313.15,0.542009593,-0.542009593,0.000542075,43834.28505,0.01880821,67.23076651,170543
0.016930025,9.6267859,7.468771691,382.9026586,313.15,0.024697329,-0.024697329,2.47E-05,1997.362713,0.049390418,68.86103128,7771
0.442090215,9.78112763,7.28561172,382.9645426,313.15,0.644916188,-0.644916188,0.000644993,52156.71531,0.018575236,68.04484595,202922.4998
0.029399334,9.621027154,7.475366769,380.5403991,313.15,0.042887415,-0.042887415,4.29E-05,3468.46109,0.035800153,68.90184746,13494.5
0.016930025,9.621138286,7.475192241,380.9859582,313.15,0.024697329,-0.024697329,2.47E-05,1997.362713,0.049390418,68.56480885,7771
0.020934322,9.620109443,7.476253375,380.9075735,313.15,0.030538751,-0.030538751,3.05E-05,2469.779733,0.043261407,68.8031381,9609
0.020934322,9.620109674,7.476252833,382.0006435,313.15,0.030538751,-0.030538751,3.05E-05,2469.779733,0.043261407,69.28536563,9609
0.025395038,9.618753482,7.477815669,380.8122276,313.15,0.037045993,-0.037045993,3.71E-05,2996.044069,0.038709667,65.1565626,11656.5
0.042325063,9.583993515,7.520080061,381.0025781,313.15,0.061743322,-0.061743322,6.18E-05,4993.406782,0.030165066,69.85832989,19427.5
0.339325986,9.652666882,7.438674609,382.8895581,313.15,0.495004898,-0.495004898,0.000495064,40032.84455,0.018946853,67.62944633,155753.0002
0.029399334,9.443518304,7.694264845,379.8357548,313.15,0.042887415,-0.042887415,4.29E-05,3468.46109,0.035800153,68.5447477,13494.5
0.376008434,9.39792666,7.742408267,382.5704259,313.15,0.548516835,-0.548516835,0.000548583,44360.54939,0.018790889,69.24072906,172590.5
0.657263425,9.484511957,7.659490753,382.8206224,313.15,0.958808424,-0.958808424,0.000958923,77542.32089,0.018173521,69.28586205,301688.5074
0.368725321,9.484987212,7.659150692,382.4752332,313.15,0.537892313,-0.537892313,0.000537957,43501.30564,0.018819385,69.82104329,169247.5002
0.033860051,9.443067627,7.694862288,380.5559232,313.15,0.049394658,-0.049394658,4.94E-05,3994.725425,0.033369291,67.45257859,15542
0.020934322,9.443068207,7.694861728,375.9094689,313.15,0.030538751,-0.030538751,3.05E-05,2469.779733,0.043261407,67.48642714,9609
0.020934322,9.443104083,7.694807543,381.0045624,313.15,0.030538751,-0.030538751,3.05E-05,2469.779733,0.043261407,68.9758188,9609
0.197061268,9.483497849,7.729113152,378.7775709,313.15,0.287470741,-0.287470741,0.000287505,23248.8033,0.020100995,69.5639139,90452.49982
0.346152679,9.760556623,7.306973797,382.8612896,313.15,0.5049636,-0.5049636,0.000505024,40838.24098,0.018915324,68.92431576,158886.5
0.440449718,9.760927611,7.306546061,382.8977091,313.15,0.64252305,-0.64252305,0.0006426,51963.17351,0.018579807,67.74645869,202169.5002
0.297000923,9.76351971,7.303708176,382.6967858,313.15,0.433261575,-0.433261575,0.000433314,35039.43776,0.019174679,67.71242833,136325.5002
0.303827616,9.457963838,7.680344816,382.6281297,313.15,0.443220278,-0.443220278,0.000443273,35844.8342,0.019133639,69.36103471,139459
0.167661934,9.458187021,7.67996451,382.5057802,313.15,0.244583326,-0.244583326,0.000244613,19780.34221,0.020583701,69.8271851,76957.99982
0.41505468,9.479522745,7.665551231,382.7559169,313.15,0.605477057,-0.605477057,0.00060555,48967.12944,0.018655164,67.96584565,190513.0002
0.647614302,9.727071876,7.350434518,382.9947162,313.15,0.944732393,-0.944732393,0.000944846,76403.94112,0.018185818,64.47679871,297259.4926
